,ID,molecule,scaffold,scaffold_success,reference_ID,indices_scaffold,indices_decorations
0,CHEMBL3684942,Brc1c(Br)c(Br)c2[nH]c(N3C=NC4CCCCC43)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(N3C=NC4CCCCC43)nc2c1Br,0.0,db_0,[],[]
1,CHEMBL3684950,Brc1c(Br)c(Br)c2[nH]c(N3CCC(C4CCNCC4)CC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(N3CCC(C4CCNCC4)CC3)nc2c1Br,0.0,db_0,[],[]
2,CHEMBL3684939,Brc1c(Br)c(Br)c2[nH]c(N3CCCC(CN4CCN(c5ccccn5)CC4)C3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(N3CCCC(CN4CCN(c5ccccn5)CC4)C3)nc2c1Br,0.0,db_0,[],[]
3,CHEMBL3684931,Brc1c(Br)c(Br)c2[nH]c(N3CCCC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(N3CCCC3)nc2c1Br,0.0,db_0,[],[]
4,CHEMBL3684937,Brc1c(Br)c(Br)c2[nH]c(N3CCCNCC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(N3CCCNCC3)nc2c1Br,0.0,db_0,[],[]
5,CHEMBL3684936,Brc1c(Br)c(Br)c2[nH]c(N3CCN(CCN4CCCCC4)CC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(N3CCN(CCN4CCCCC4)CC3)nc2c1Br,0.0,db_0,[],[]
6,CHEMBL3684941,Brc1c(Br)c(Br)c2[nH]c(N3CCN4CCC3CC4)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(N3CCN4CCC3CC4)nc2c1Br,0.0,db_0,[],[]
7,CHEMBL3684933,Brc1c(Br)c(Br)c2[nH]c(N3CCNCC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(N3CCNCC3)nc2c1Br,0.0,db_0,[],[]
8,CHEMBL3684945,Brc1c(Br)c(Br)c2[nH]c(N3CCNc4ccccc43)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(N3CCNc4ccccc43)nc2c1Br,0.0,db_0,[],[]
9,CHEMBL3684932,Brc1c(Br)c(Br)c2[nH]c(N3CCOCC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(N3CCOCC3)nc2c1Br,0.0,db_0,[],[]
10,CHEMBL3684976,Brc1c(Br)c(Br)c2[nH]c(NC3CCCCCCC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(NC3CCCCCCC3)nc2c1Br,0.0,db_0,[],[]
11,CHEMBL3689338,Brc1c(Br)c(Br)c2[nH]c(NC3CCCNCC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(NC3CCCNCC3)nc2c1Br,0.0,db_0,[],[]
12,CHEMBL3689342,Brc1c(Br)c(Br)c2[nH]c(NC3CCNCC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(NC3CCNCC3)nc2c1Br,0.0,db_0,[],[]
13,CHEMBL3684961,Brc1c(Br)c(Br)c2[nH]c(NCC3CCNCC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(NCC3CCNCC3)nc2c1Br,0.0,db_0,[],[]
14,CHEMBL3684958,Brc1c(Br)c(Br)c2[nH]c(NCCCN3CCCC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(NCCCN3CCCC3)nc2c1Br,0.0,db_0,[],[]
15,CHEMBL3684959,Brc1c(Br)c(Br)c2[nH]c(NCCCN3CCCCC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(NCCCN3CCCCC3)nc2c1Br,0.0,db_0,[],[]
16,CHEMBL3684973,Brc1c(Br)c(Br)c2[nH]c(NCCCN3CCOCC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(NCCCN3CCOCC3)nc2c1Br,0.0,db_0,[],[]
17,CHEMBL3684960,Brc1c(Br)c(Br)c2[nH]c(NCCCn3ccnc3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(NCCCn3ccnc3)nc2c1Br,0.0,db_0,[],[]
18,CHEMBL3684955,Brc1c(Br)c(Br)c2[nH]c(NCCN3CCCC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(NCCN3CCCC3)nc2c1Br,0.0,db_0,[],[]
19,CHEMBL3684954,Brc1c(Br)c(Br)c2[nH]c(NCCN3CCCCC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(NCCN3CCCCC3)nc2c1Br,0.0,db_0,[],[]
20,CHEMBL3684974,Brc1c(Br)c(Br)c2[nH]c(NCCN3CCN(c4ncccn4)CC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(NCCN3CCN(c4ncccn4)CC3)nc2c1Br,0.0,db_0,[],[]
21,CHEMBL3684956,Brc1c(Br)c(Br)c2[nH]c(NCCN3CCOCC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(NCCN3CCOCC3)nc2c1Br,0.0,db_0,[],[]
22,CHEMBL3684970,Brc1c(Br)c(Br)c2[nH]c(NCCc3ccccn3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(NCCc3ccccn3)nc2c1Br,0.0,db_0,[],[]
23,CHEMBL3684963,Brc1c(Br)c(Br)c2[nH]c(NCc3ccccc3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(NCc3ccccc3)nc2c1Br,0.0,db_0,[],[]
24,CHEMBL3689332,Brc1c(Br)c(Br)c2[nH]c(N[C@H]3COC[C@@H]3N3CCCC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(N[C@H]3COC[C@@H]3N3CCCC3)nc2c1Br,0.0,db_0,[],[]
25,CHEMBL3689333,Brc1c(Br)c(Br)c2[nH]c(N[C@H]3COC[C@@H]3N3CCCCC3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(N[C@H]3COC[C@@H]3N3CCCCC3)nc2c1Br,0.0,db_0,[],[]
26,CHEMBL3684962,Brc1c(Br)c(Br)c2[nH]c(Nc3ccccc3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(Nc3ccccc3)nc2c1Br,0.0,db_0,[],[]
27,CHEMBL3689326,Brc1c(Br)c(Br)c2[nH]c(Nc3ccccn3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(Nc3ccccn3)nc2c1Br,0.0,db_0,[],[]
28,CHEMBL3684957,Brc1c(Br)c(Br)c2[nH]c(Nc3ccncc3)nc2c1Br,Brc1c(Br)c(Br)c2[nH]c(Nc3ccncc3)nc2c1Br,0.0,db_0,[],[]
29,CHEMBL3684946,Brc1c(Br)c(Br)c2c(nc(N3CCNCC3)n2Cc2ccccc2)c1Br,Brc1c(Br)c(Br)c2c(nc(N3CCNCC3)n2Cc2ccccc2)c1Br,0.0,db_0,[],[]
30,CHEMBL3958501,Brc1nnc(-c2ccc3[nH]cc(-c4cccc(N5CCOCC5)n4)c3c2)s1,Brc1nnc(-c2ccc3[nH]cc(-c4cccc(N5CCOCC5)n4)c3c2)s1,0.0,db_0,[],[]
31,CHEMBL1915436,C#Cc1cccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3cnccc23)c1,C#Cc1cccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3cnccc23)c1,0.0,db_0,[],[]
32,CHEMBL2017356,C#Cc1cccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3sccc23)c1,C#Cc1cccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3sccc23)c1,0.0,db_0,[],[]
33,CHEMBL3890953,C#Cc1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CCNCC3)n2)n1,C#Cc1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CCNCC3)n2)n1,0.0,db_0,[],[]
34,CHEMBL3929651,C#Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)(C)C,C#Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)(C)C,0.0,db_0,[],[]
35,CHEMBL3809940,C/C1=C/C[C@H]2CNC(=O)c3cc([nH]c32)-c2cccc3nc(C)c(nc23)NC1,C/C1=C/C[C@H]2CNC(=O)c3cc([nH]c32)-c2cccc3nc(C)c(nc23)NC1,0.0,db_0,[],[]
36,CHEMBL3808662,C/C1=C\C[C@H]2CNC(=O)c3cc([nH]c32)-c2cccc3nc(C)c(nc23)NC1,C/C1=C\C[C@H]2CNC(=O)c3cc([nH]c32)-c2cccc3nc(C)c(nc23)NC1,0.0,db_0,[],[]
37,CHEMBL3949181,C=C(C)CNc1nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2nc1C,C=C(C)CNc1nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2nc1C,0.0,db_0,[],[]
38,CHEMBL3691971,C=C(C)c1cn([C@@H]2[C@H](N)C[C@H](c3ccncc3NC(=O)c3ccc(F)c(-c4c(F)cccc4F)n3)C[C@@H]2C)nn1,C=C(C)c1cn([C@@H]2[C@H](N)C[C@H](c3ccncc3NC(=O)c3ccc(F)c(-c4c(F)cccc4F)n3)C[C@@H]2C)nn1,0.5,db_0,[],"[26, 25, 27, 28, 29, 30, 31, 32, 33]"
39,CHEMBL3976384,C=C(c1cc2c([nH]1)CCNC2=O)c1nc(N[C@@H]2CCN(C(C)=O)C2)c(C)nc1C,C=C(c1cc2c([nH]1)CCNC2=O)c1nc(N[C@@H]2CCN(C(C)=O)C2)c(C)nc1C,0.0,db_0,[],[]
